file name,Model constraint,Status,Solve time (second)
j6010_1.data,85,optimal,0.06
j6010_10.data,73,optimal,0.04
j6010_2.data,62,optimal,0.04
j6010_3.data,72,optimal,0.05
j6010_4.data,80,optimal,0.05
j6010_5.data,79,optimal,0.05
j6010_6.data,67,optimal,0.04
j6010_7.data,69,optimal,0.04
j6010_8.data,65,optimal,0.04
j6010_9.data,73,optimal,0.04
j6011_1.data,71,optimal,0.04
j6011_10.data,58,optimal,0.04
j6011_2.data,61,optimal,0.04
j6011_3.data,76,optimal,0.04
j6011_4.data,69,optimal,0.04
j6011_5.data,65,optimal,0.05
j6011_6.data,70,optimal,0.04
j6011_7.data,70,optimal,0.04
j6011_8.data,69,optimal,0.04
j6011_9.data,62,optimal,0.04
j6012_1.data,59,optimal,0.04
j6012_10.data,79,optimal,0.04
j6012_2.data,58,optimal,0.04
j6012_3.data,75,optimal,0.04
j6012_4.data,69,optimal,0.04
j6012_5.data,63,optimal,0.04
j6012_6.data,54,optimal,0.04
j6012_7.data,71,optimal,0.04
j6012_8.data,60,optimal,0.04
j6012_9.data,59,optimal,0.04
